From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
P07195	P07195	LDHB_HUMAN	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)	LDHB	lactate metabolic process [GO:0006089]; NAD metabolic process [GO:0019674]; pyruvate metabolic process [GO:0006090]
Q06830	Q06830	PRDX1_HUMAN	Peroxiredoxin-1 (EC 1.11.1.24) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1)	PRDX1 PAGA PAGB TDPX2	cell population proliferation [GO:0008283]; cell redox homeostasis [GO:0045454]; cellular response to chemical stress [GO:0062197]; erythrocyte homeostasis [GO:0034101]; fibroblast proliferation [GO:0048144]; hydrogen peroxide catabolic process [GO:0042744]; leukocyte activation [GO:0045321]; natural killer cell activation [GO:0030101]; natural killer cell mediated cytotoxicity [GO:0042267]; regulation of NIK/NF-kappaB signaling [GO:1901222]; regulation of stress-activated MAPK cascade [GO:0032872]; removal of superoxide radicals [GO:0019430]; retina homeostasis [GO:0001895]; skeletal system development [GO:0001501]
Q13838	Q13838	DX39B_HUMAN	Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein UAP56) (HLA-B-associated transcript 1 protein)	DDX39B BAT1 UAP56	mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of DNA damage checkpoint [GO:2000002]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; RNA export from nucleus [GO:0006405]; RNA secondary structure unwinding [GO:0010501]; RNA splicing [GO:0008380]; spliceosomal complex assembly [GO:0000245]; viral mRNA export from host cell nucleus [GO:0046784]
P09429	P09429	HMGB1_HUMAN	High mobility group protein B1 (High mobility group protein 1) (HMG-1)	HMGB1 HMG1	activation of innate immune response [GO:0002218]; apoptotic cell clearance [GO:0043277]; autophagy [GO:0006914]; cellular response to lipopolysaccharide [GO:0071222]; dendritic cell chemotaxis [GO:0002407]; DNA geometric change [GO:0032392]; DNA recombination [GO:0006310]; DNA topological change [GO:0006265]; double-strand break repair via nonhomologous end joining [GO:0006303]; heterochromatin assembly [GO:0031507]; inflammatory response [GO:0006954]; inflammatory response to antigenic stimulus [GO:0002437]; innate immune response [GO:0045087]; myeloid dendritic cell activation [GO:0001773]; negative regulation of apoptotic cell clearance [GO:2000426]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043371]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0017055]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron projection development [GO:0031175]; neutrophil clearance [GO:0097350]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000343]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of dendritic cell differentiation [GO:2001200]; positive regulation of DNA binding [GO:0043388]; positive regulation of DNA ligation [GO:0051106]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mismatch repair [GO:0032425]; positive regulation of monocyte chemotaxis [GO:0090026]; positive regulation of toll-like receptor 9 signaling pathway [GO:0034165]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; positive regulation of viral entry into host cell [GO:0046598]; regulation of restriction endodeoxyribonuclease activity [GO:0032072]; regulation of T cell mediated immune response to tumor cell [GO:0002840]; regulation of tolerance induction [GO:0002643]; regulation of transcription by RNA polymerase II [GO:0006357]; T-helper 1 cell activation [GO:0035711]; T-helper 1 cell differentiation [GO:0045063]; V(D)J recombination [GO:0033151]
P60660	P60660	MYL6_HUMAN	Myosin light polypeptide 6 (17 kDa myosin light chain) (LC17) (Myosin light chain 3) (MLC-3) (Myosin light chain alkali 3) (Myosin light chain A3) (Smooth muscle and nonmuscle myosin light chain alkali 6)	MYL6	muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; skeletal muscle tissue development [GO:0007519]
P06576	P06576	ATPB_HUMAN	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	ATP5F1B ATP5B ATPMB ATPSB	angiogenesis [GO:0001525]; ATP biosynthetic process [GO:0006754]; cellular response to interleukin-7 [GO:0098761]; generation of precursor metabolites and energy [GO:0006091]; lipid metabolic process [GO:0006629]; negative regulation of cell adhesion involved in substrate-bound cell migration [GO:0006933]; osteoblast differentiation [GO:0001649]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; proton transmembrane transport [GO:1902600]; regulation of intracellular pH [GO:0051453]
P00558	P00558	PGK1_HUMAN	Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	PGK1 PGKA MIG10 OK/SW-cl.110	canonical glycolysis [GO:0061621]; cellular response to hypoxia [GO:0071456]; epithelial cell differentiation [GO:0030855]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; negative regulation of angiogenesis [GO:0016525]; phosphorylation [GO:0016310]; plasminogen activation [GO:0031639]
P58876	P58876	H2B1D_HUMAN	Histone H2B type 1-D (H2B-clustered histone 5) (HIRA-interacting protein 2) (Histone H2B.1 B) (Histone H2B.b) (H2B/b)	H2BC5 H2BFB HIRIP2 HIST1H2BD	nucleosome assembly [GO:0006334]
O60814	O60814	H2B1K_HUMAN	Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1)	H2BC12 H2BFT HIRIP1 HIST1H2BK	antibacterial humoral response [GO:0019731]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response in mucosa [GO:0002227]; killing of cells of another organism [GO:0031640]; nucleosome assembly [GO:0006334]
P62805	P62805	H4_HUMAN	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4C16 H4-16 HIST4H4	DNA replication-dependent chromatin assembly [GO:0006335]; DNA replication-independent chromatin assembly [GO:0006336]; negative regulation of megakaryocyte differentiation [GO:0045653]; nucleosome assembly [GO:0006334]; protein localization to CENP-A containing chromatin [GO:0061644]; telomere organization [GO:0032200]
P07910	P07910	HNRPC_HUMAN	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	HNRNPC HNRPC	3'-UTR-mediated mRNA stabilization [GO:0070935]; chromatin remodeling [GO:0006338]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of telomere maintenance via telomerase [GO:0032211]; osteoblast differentiation [GO:0001649]; RNA splicing [GO:0008380]
Q8N257	Q8N257	H2B3B_HUMAN	Histone H2B type 3-B (H2B type 12) (H2B-clustered histone 26) (H2B.U histone 1)	H2BC26 H2BU1 HIST3H2BB	nucleosome assembly [GO:0006334]
O00299	O00299	CLIC1_HUMAN	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	CLIC1 G6 NCC27	chloride transport [GO:0006821]; platelet aggregation [GO:0070527]; positive regulation of osteoblast differentiation [GO:0045669]; regulation of cell cycle [GO:0051726]; regulation of ion transmembrane transport [GO:0034765]; regulation of mitochondrial membrane potential [GO:0051881]; signal transduction [GO:0007165]
P61978	P61978	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	HNRNPK HNRPK	mRNA splicing, via spliceosome [GO:0000398]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of low-density lipoprotein receptor activity [GO:1905599]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of gene expression [GO:0010468]; regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902165]; regulation of low-density lipoprotein particle clearance [GO:0010988]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA processing [GO:0006396]; signal transduction [GO:0007165]
P35527	P35527	K1C9_HUMAN	Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)	KRT9	epidermis development [GO:0008544]; epithelial cell differentiation [GO:0030855]; intermediate filament organization [GO:0045109]; skin development [GO:0043588]; spermatogenesis [GO:0007283]
P09651	P09651	ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]	HNRNPA1 HNRPA1	amyloid fibril formation [GO:1990000]; cellular response to glucose starvation [GO:0042149]; cellular response to sodium arsenite [GO:1903936]; import into nucleus [GO:0051170]; localization [GO:0051179]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; negative regulation of telomere maintenance via telomerase [GO:0032211]; nuclear export [GO:0051168]; positive regulation of telomere maintenance via telomerase [GO:0032212]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA export from nucleus [GO:0006405]
P68032	P68032	ACTC_HUMAN	Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]	ACTC1 ACTC	actin filament organization [GO:0007015]; actin filament-based movement [GO:0030048]; actin-myosin filament sliding [GO:0033275]; actomyosin structure organization [GO:0031032]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; heart contraction [GO:0060047]; mesenchyme migration [GO:0090131]; negative regulation of apoptotic process [GO:0043066]; positive regulation of gene expression [GO:0010628]; skeletal muscle thin filament assembly [GO:0030240]
P60174	P60174	TPIS_HUMAN	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)	TPI1 TPI	canonical glycolysis [GO:0061621]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]; methylglyoxal biosynthetic process [GO:0019242]
P05787	P05787	K2C8_HUMAN	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)	KRT8 CYK8	intermediate filament organization [GO:0045109]; keratinization [GO:0031424]
P67936	P67936	TPM4_HUMAN	Tropomyosin alpha-4 chain (TM30p1) (Tropomyosin-4)	TPM4	actin filament organization [GO:0007015]; muscle contraction [GO:0006936]; osteoblast differentiation [GO:0001649]
P62736	P62736	ACTA_HUMAN	Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	ACTA2 ACTSA ACTVS GIG46	glomerular mesangial cell development [GO:0072144]; mesenchyme migration [GO:0090131]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of hepatic stellate cell activation [GO:2000491]; positive regulation of hepatic stellate cell contraction [GO:0061874]; positive regulation of hepatic stellate cell migration [GO:0061870]; regulation of blood pressure [GO:0008217]; regulation of wound healing [GO:0061041]; response to virus [GO:0009615]; vascular associated smooth muscle contraction [GO:0014829]
Q8IUE6	Q8IUE6	H2A2B_HUMAN	Histone H2A type 2-B (H2A-clustered histone 21)	H2AC21 HIST2H2AB	
P0DMV8	P0DMV8	HS71A_HUMAN	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1)	HSPA1A HSP72 HSPA1 HSX70	ATP metabolic process [GO:0046034]; cellular heat acclimation [GO:0070370]; cellular response to heat [GO:0034605]; cellular response to oxidative stress [GO:0034599]; cellular response to steroid hormone stimulus [GO:0071383]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; chaperone-mediated protein complex assembly [GO:0051131]; lysosomal transport [GO:0007041]; mRNA catabolic process [GO:0006402]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell death [GO:0060548]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of inclusion body assembly [GO:0090084]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of endoribonuclease activity [GO:1902380]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of microtubule nucleation [GO:0090063]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070434]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of RNA splicing [GO:0033120]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; regulation of mitotic spindle assembly [GO:1901673]; regulation of protein ubiquitination [GO:0031396]; response to unfolded protein [GO:0006986]; vesicle-mediated transport [GO:0016192]
